Número de Procedimiento,Testigo Social,Entidad Federativa,Descripción,Tipo de Procedimiento,Tipo de Contratación,Fecha Publicación,Estado,Adjudicado A,Monto Adjudicado
CFE-0604-CSAAN-0004-2025,NO,Baja California,ADQUISICIÓN DE SERPENTINES PARA ENFRIAMIENTO DE REDUCTORES DE VELOCIDAD DE EVAPORADORES DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,11-02-2025,Adjudicado,"RENDON HERNANDEZ SERVICIOS INDUSTRIALES SA DE CV,","$655,640.00"
CFE-0604-CSSAN-0004-2025,NO,Baja California,SERVICIO DE LIMPIEZA DE CARCASAS DE LAS TURBINAS DE LAS UNIDADES DEL COMPLEJO PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,10-02-2025,Adjudicado,"NORBERTO TORRES VEA,","$1,854,400.00"
CFE-0604-CSABN-0002-2025,NO,Baja California,ARRENDAMIENTO E INSTALACIÓN DE ANDAMIOS PARA DIVERSAS ÁREAS DE LA C.T. Y C.C.C. PRESIDENTE JUÁREZ 2025,Concurso simplificado,Arrendamiento de Bienes,07-02-2025,Adjudicado,"OLGA LORENA PADILLA GALVAN,","$1,777,500.00"
CFE-0604-CSSAA-0001-2025,NO,Baja California,"SERVICIO DE PROFESIONALES ESPECIALIZADOS EN EL SISTEMA DE CONTROL DE COMBUSTIÓN Y MANEJO DE QUEMADORES, ASI COMO AL SISTEMA DE CONTROL DE TURBINA Y EQUIPO AUXILIAR DE LA UNIDAD 6 DE LA CTPJ",Concurso simplificado,Servicio por Abastecimiento,04-02-2025,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$1,311,349.67"
CFE-0604-CSAAN-0003-2025,NO,Baja California,ADQUISICIÓN DE EQUIPO PARA CONTROLES DE RIESGO CRIÍTICOS C.T. PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,04-02-2025,Adjudicado,"SERGO EQUIPOS Y HERRAMIENTAS SA DE CV,TECNOLOGIA MATERIALES Y EQUIPOS INDUSTRIALES SA DE CV,","$360,702.40"
CFE-0604-CSSAN-0003-2025,NO,Baja California,"SERVICIO DE LIMPIEZA DE ÁREAS DONDE SE MANEJAN, ALMACENAN Y TRANSPORTAN MATERIALES Y RESIDUOS PELIGROSOS DEL COMPLEJO PRESIDENTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,28-01-2025,Adjudicado,"NORBERTO TORRES VEA,","$1,344,000.00"
CFE-0604-CSAAA-0002-2025,NO,Baja California,ADQUISICIÓN DE EQUIPO PATRON PARA EL DEPARTAMENTO DE INSTRUMENTACIÓN Y CONTROL DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,27-01-2025,Adjudicado,"COMERCIALIZADORA INDUSTRIAL HENZE SA DE CV,SEPAC INGENIERIA SA DE CV,","$1,390,661.52"
CFE-0604-CSSAN-0002-2025,NO,Baja California,SERVICIO DE CONSERVACIÓN Y MANTENIMIENTO A EQUIPOS DE AIRE ACONDICIONADO DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,24-01-2025,Adjudicado,"YURENY MONSERRAT FERREIRO AGUIRRE,","$821,400.00"
CFE-0604-CSABN-0001-2025,NO,Baja California,ARRENDAMIENTO DE GRÚA Y PLATAFORMA ARTICULADA PARA ATENCIÓN A EVAPORADORES DE LA C.T. PRESIDENTE JUÁREZ 2025,Concurso simplificado,Arrendamiento de Bienes,22-01-2025,Adjudicado,"GRUAS MANIOBRAS Y MONTAJES SEH ESPECIALIZADOS SA DE CV,OLGA LORENA PADILLA GALVAN,","$1,670,400.00"
CFE-0604-CSAAN-0002-2025,NO,Baja California,ADQUISICIÒN DE TOALLA DE ALGODÒN PARA BAÑO 2025 PARA LA C.T PRESIDENTE JUÀREZ.,Concurso simplificado,Adquisición por Abastecimientos,21-01-2025,Adjudicado,"RICO PROMOSTAR SA DE CV,","$400,512.00"
CFE-0604-CSAAN-0001-2025,NO,Baja California,ADQUISICIÓN DE COMPONENTES PARA EL MANTENIMIENTO RUTINARIO DE LA DRAGA MARINA PD-14S DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,17-01-2025,Adjudicado,"COMERCIALIZADORA DE SERVICIOS INDUSTRIALES Y SUMINISTROS FH SA D,FORTIS ALLOY MEXICO SA DE CV,INOX VER SA DE CV,NIKSERVI SA DE CV,P&R INDUSTRIAL S DE RL DE CV,","$717,168.07"
CFE-0604-CSAAA-0001-2025,NO,Baja California,ADQUISICIÓN DE SUSTANCIAS QUIMICAS GRADO ANALÍTICO E INDUSTRIAL 2025 CTPJ,Concurso simplificado,Adquisición por Abastecimientos,16-01-2025,Adjudicado,"DISTRIBUIDORA QUIMICA DE SONORA SA DE CV,INSUMOS A LA INDUSTRIA QUIMICA SA DE CV,QUIMICA INDUSTRIAL DEL NORTE SA DE CV,","$1,110,234.80"
CFE-0604-CSSAN-0001-2025,NO,Baja California,SERVICIO DE AGUA PURIFICADA PARA EL CONSUMO DE LOS TRABAJADORES DE LA CENTRAL TERMOELÉCTRICA PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Servicio por Abastecimiento,16-01-2025,Desierto,,$0.00
CFE-0604-CSAAA-0029-2024,NO,Baja California,ADQUISICIÓN DE COPLE DE BOMBA DE ACEITE LUBRICACIÓN TURBOGENERADOR AERODERIVADAS LM6000 PF,Concurso simplificado,Adquisición por Abastecimientos,23-12-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$712,511.36"
CFE-0604-CSAAN-0030-2024,NO,Baja California,"ADQUISICIÓN DE BANDAS PARA SISTEMAS DE ENFRIAMIENTO DE LAS UNIDADES TURBOGAS 3 Y AERODERIVADAS 4, 5 Y 6""",Concurso simplificado,Adquisición por Abastecimientos,23-12-2024,Adjudicado,"DAFNE VARGAS DIAZ,","$270,332.00"
CFE-0604-CSAAA-0028-2024,NO,Baja California,SUMINISTRO DE MEDIDOR LASER DE DISTANCIA PARA NIVEL EN OBRA DE TOMA EN UNIDADES 8 Y 9 DE LA CENTRAL CICLO COMBINADO PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,23-12-2024,Adjudicado,"SICMA DESARROLLO TECNOLOGICO SA DE CV,","$816,115.50"
CFE-0604-CSAAA-0027-2024,NO,Baja California,ADQUISICIÓN DE MEDIDORES DE ESPESOR POR ULTRASONIDO Y CONDUCTIVIDAD PARA LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,23-12-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$141,961.60"
CFE-0604-CSAAN-0029-2024,NO,Baja California,ADQUISICIÓN DE EQUIPO PARA CONTROLES DE RIESGO CRÍTICOS C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,20-12-2024,Adjudicado,"COMERCIALIZADORA DE SERVICIOS INDUSTRIALES Y SUMINISTROS FH SA D,PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,TECNOLOGIA MATERIALES Y EQUIPOS INDUSTRIALES SA DE CV,XHITAO SA DE CV,","$1,011,432.50"
CFE-0604-CSSAN-0036-2024,NO,Baja California,SERVICIO DE ANALISIS FISICOQUIMICOS DE LAS DESCARGAS DE AGUA RESIDUAL Y ENTRADA DE AGUA DE MAR DE LA C.T. PRESIDENTE JUAREZ 2025,Concurso simplificado,Servicio por Abastecimiento,17-12-2024,Adjudicado,"ASESORIA Y SERVICIOS ANALITICOS SA DE CV,","$784,620.00"
CFE-0604-CSSAN-0035-2024,NO,Baja California,SERVICIO DE AGUA PURIFICADA PARA EL CONSUMO DE LOS TRABAJADORES DE LA CENTRAL TERMOELECTRICA PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,16-12-2024,Desierto,,$0.00
CFE-0604-CSAAA-0026-2024,NO,Baja California,ADQUISICIÓN DE REFACCIONES DE CONTROL PARA EVAPORADORES DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,11-12-2024,Desierto,,$0.00
CFE-0604-CSABN-0002-2024,NO,Baja California,ARRENDAMIENTO DE MAQUINARIA PESADA Y SERVICIO DE EXTRACCIÓN DE SÓLIDOS ARENOSOS PARA LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Arrendamiento de Bienes,10-12-2024,Adjudicado,"OLGA LORENA PADILLA GALVAN,","$662,512.95"
CFE-0604-CSSAN-0034-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO DE EQUIPOS AUXILIARES DE DRAGA MARINA PD-14S DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,10-12-2024,Adjudicado,"AUTOSERVICIO CORDOVA SA DE CV,","$1,793,600.00"
CFE-0604-CSSAN-0033-2024,NO,Baja California,SERVICIO DE ENMETALADO DE COJINETES DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,30-10-2024,Adjudicado,"WILCOX MACHINE CO. MEXICO SA DE CV,","$1,158,696.00"
CFE-0604-CSSAN-0032-2024,NO,Baja California,SERVICIO DE REPARACIÓN DE MOTORES PARA DRAGA MARINA PD-14-S C.C.C PRESIDENTE JUÁREZ- TERCER EVENTO,Concurso simplificado,Servicio por Abastecimiento,21-10-2024,Adjudicado,"AUTOSERVICIO CORDOVA SA DE CV,","$1,659,680.00"
CFE-0604-CSAAA-0025-2024,NO,Baja California,ADQUISICIÓN DE ARRANCADOR PARA MOTOR DIESEL DE ARRANQUE P MOD 12V71T,Concurso simplificado,Adquisición por Abastecimientos,16-10-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$536,694.87"
CFE-0604-CSSAN-0031-2024,NO,Baja California,SERVICIO DE MANTENIMIENTO INTEGRAL PARA MAQUINARIA PESADA DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,15-10-2024,Adjudicado,"AUTOSERVICIO CORDOVA SA DE CV,","$1,889,360.00"
CFE-0604-CSAAN-0028-2024,NO,Baja California,ADQUISICIÒN DE MÁXIMOS Y MÍNIMOS PARA MANTTO. RUTINARIO 2024-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,14-10-2024,Adjudicado,"CONSTRUCTORA CASINSA S DE RL DE CV,","$1,997,473.00"
CFE-0604-CSAAN-0027-2024,NO,Baja California,ADQUISICIÓN DE REFACCIONES ESPECIALES PARA BOMBAS DE AGUA DE ENFRIAMIENTO PRINCIPAL DE UNIDADES 8 Y 9 DE LA C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,09-10-2024,Adjudicado,"WILCOX MACHINE CO. MEXICO SA DE CV,","$1,208,310.96"
CFE-0604-CSAAN-0026-2024,NO,Baja California,ADQUISICIÒN DE MÁXIMOS Y MÍNIMOS PARA MANTTO. RUTINARIO 2024,Concurso simplificado,Adquisición por Abastecimientos,07-10-2024,Cancelado,,$0.00
CFE-0604-CSAAA-0024-2024,NO,Baja California,ADQUISICIÓN DE MEDIDORES DE ENERGIA PARA LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,24-09-2024,Adjudicado,"ALIANZA ENERGETICA DEL BAJIO SA DE CV,","$1,942,645.32"
CFE-0604-CSAAA-0023-2024,NO,Baja California,ADQUISICIÓN DE REFACCIONES PARA UNIDAD 1 CTG CIPRÉS,Concurso simplificado,Adquisición por Abastecimientos,24-09-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$1,204,124.49"
CFE-0604-CSSAN-0030-2024,NO,Baja California,SERVICIO REPARACIÓN DE MOTORES PARA DRAGA MARINA PD-14-S C.C.C PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Servicio por Abastecimiento,20-09-2024,Contrato Sin Formalizar,"OPATA INGENIERIA SA DE CV,","$1,678,540.00"
CFE-0604-CSSAA-0005-2024,NO,Baja California,"INSTALACION, PUESTA EN SERVICIO Y SUMINISTRO DE LUMINARIAS DE SEÑALAMIENTO MARITIMO EN C.T. PRESIDENTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,19-09-2024,Adjudicado,"BUCEO INDUSTRIAL BAJA S DE RL DE CV,","$923,115.42"
CFE-0604-CSAAA-0022-2024,NO,Baja California,ADQUISICIÓN DE RECUBRIMIENTOS PARA TRABAJOS DE MANTENIMIENTOS A LAS INSTALACIONES Y EQUIPOS DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,18-09-2024,Adjudicado,"GENERAL PAINT SA DE CV,","$1,044,294.90"
CFE-0604-CSSAN-0029-2024,NO,Baja California,SERVICIO DE AISLAMIENTO ACÚSTICO DE TUBERÍA DE GAS PARA LAS UNIDADES 1 A 24 DE LA C.C.I. MEXICALI ORIENTE,Concurso simplificado,Servicio por Abastecimiento,18-09-2024,Adjudicado,"TUBERIAS Y ESTRUCTURAS SA,","$1,318,171.33"
CFE-0604-CSSAN-0027-2024,NO,Baja California,SERVICIO DE REPARACIÓN DE EQUIPO MECÁNICO EN EVAPORADORES DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,13-09-2024,Adjudicado,"CR SERVICIOS INDUSTRIALES SA DE CV,","$1,536,745.00"
CFE-0604-CSAAA-0021-2024,NO,Baja California,ADQUISICIÓN DE SENSOR DE PRESION LPT P48 1303M20P01,Concurso simplificado,Adquisición por Abastecimientos,12-09-2024,Adjudicado,"PROVEEDORES INDUSTRIALES DE EQUIPOS Y REFACCIONES UNIVERSALES SA,","$717,114.60"
CFE-0604-CSCON-0002-2024,NO,Baja California,MANTENIMIENTO OBRA CIVIL LABORATORIO QUIMICO U8YU9 C.C.C. PRESIDENTE JUÁREZ,Concurso simplificado,Contratación de Obras,11-09-2024,Adjudicado,"LD LOBOS DESARROLLOS SA DE CV,","$1,921,705.65"
CFE-0604-CSSAN-0026-2024,NO,Baja California,SERVICIO DE REPARACIÓN DE MOTORES PARA DRAGA MARINA PD-14-S C.C.C PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,06-09-2024,Desierto,,$0.00
CFE-0604-CSAAA-0020-2024,NO,Baja California,ADQUISICIÓN DE MODULO PARA VIBRACIÓN ABSOLUTA PARA LA UNIDAD 1 Y 2 DE LA CENTRAL TURBOGAS TIJUANA,Concurso simplificado,Adquisición por Abastecimientos,23-08-2024,Adjudicado,"SICMA DESARROLLO TECNOLOGICO SA DE CV,","$1,008,968.32"
CFE-0604-CSAAN-0025-2024,NO,Baja California,ADQUISICIÓN ROPA DE TRABAJO 2024 PARA PERSONAL DE MANTENIMIENTO DE LA C.T. PRESIDENTE JUÁREZ-TERCER EVENTO,Concurso simplificado,Adquisición por Abastecimientos,15-08-2024,Adjudicado,"FRENCH CHIC SA DE CV,","$1,976,905.00"
CFE-0604-CSAAA-0019-2024,NO,Baja California,ADQUISICIÓN DE MODULOS DE ENTRADAS ANALÓGICAS Y DIGITALES PARA REGISTRADORES DE DISTURBIOS DE LA C.C.C PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,12-08-2024,Adjudicado,"INGENIERIA E INSTRUMENTACION INTERNACIONAL SA DE CV,","$454,382.60"
CFE-0604-CSSAA-0004-2024,NO,Baja California,SERVICIO DE REPARACIÓN DE TARJETAS DE UNIDAD 1 DE CTG CIPRES,Concurso simplificado,Servicio por Abastecimiento,09-08-2024,Adjudicado,"POWER ENGINEERING SERVICES AND SOLUTIONS SA DE CV,","$476,263.24"
CFE-0604-CSSAN-0025-2024,NO,Baja California,"SERVICIO DE LIMPIEZA DE ÁREAS DEL GENERADOR DE VAPOR, CARCASAS DE TUBERIA DE VAPOR, CASETA DE COMPRESORES, CASETA DE BOMBAS DE ALTA PRESIÓN, OBRA DE TOMA, COMPARTIMENTO DE LA TUBERIA DE GAS, TURBINA D",Concurso simplificado,Servicio por Abastecimiento,05-08-2024,Adjudicado,"NORBERTO TORRES VEA,","$1,186,800.00"
CFE-0604-CSAAN-0024-2024,NO,Baja California,"ADQUISICIÓN DE MANGUERAS DE DESCARGA, SUCCIÓN Y TUBERIA DESCARGA PARA LA DRAGA MARINA PD-14S DEL DEPARTAMENTO CIVIL DE LA C.T. PRESIDENTE JUÁREZ 2024-SEGUNDO EVENTO",Concurso simplificado,Adquisición por Abastecimientos,01-08-2024,Desierto,,$0.00
CFE-0604-CSSAA-0003-2024,NO,Baja California,SERVICIO DE REPARACIÓN DEL ARRANCADOR ESTÁTICO DE LA UNIDAD 9 DE LA C.C.C PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Servicio por Abastecimiento,30-07-2024,Adjudicado,"HTS LATAM LLC,","$385,698.90"
CFE-0604-CSAAN-0023-2024,NO,Baja California,"ADQUISICIÓN DE MANGUERAS DE DESCARGA, SUCCIÓN Y TUBERIA DESCARGA PARA LA DRAGA MARINA PD-14S DEL DEPARTAMENTO CIVIL DE LA C.T. PRESIDENTE JUÁREZ 2024",Concurso simplificado,Adquisición por Abastecimientos,12-07-2024,Adjudicado,"CONSERTEC CONSTRUCCIONES SAS DE CV,","$1,370,570.33"
CFE-0604-CSSAA-0002-2024,NO,Baja California,SERVICIO DE REPARACIÓN DEL ARRANCADOR ESTÁTICO DE LA UNIDAD 9 DE LA C.C.C PRESIDENTE JUÁREZ,Concurso simplificado,Servicio por Abastecimiento,10-07-2024,Desierto,,$0.00
CFE-0604-CSAAN-0022-2024,NO,Baja California,ADQUISICIÓN DE SELLOS MECÁNICOS Y COPLES PARA EVAPORADORES DE LA C.C.C PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,25-06-2024,Adjudicado,"VAESYCO INDUSTRIAL Y MINERO SA DE CV,","$138,619.00"
CFE-0604-CSSAN-0024-2024,NO,Baja California,"SERVICIO DE MANTTO Y REPARACIÓN DE CENTRADORES DE TUBERIAS, COPLES Y FLECHAS QUE COMPONEN A 4 BOMBAS DE AGUA DE ENFRIAMIENTO PRINCIPAL MODELO SEZN 10-75 DE LAS UNIDADES 8 Y 9 DE LA C.C.C PTE JUÁREZ",Concurso simplificado,Servicio por Abastecimiento,24-06-2024,Adjudicado,"ELVIRA BETANCOURT ZAMORA,","$1,974,600.00"
CFE-0604-CSAAA-0018-2024,NO,Baja California,ADQUISICIÓN DE BALEROS PARA MOTORES ELÉCTRICOS DE LA C.T. PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,13-06-2024,Adjudicado,"BINASA MEXICALI S DE RL DE CV,DISTRIBUIDORA DE BALEROS DEL SURESTE SA DE CV,DISTRIBUIDORA INDUSTRIAL DE BALEROS SA DE CV,KEVIN ALAIN VERASTEGUI LOPEZ,VAESYCO INDUSTRIAL Y MINERO SA DE CV,","$942,180.60"
CFE-0604-CSSAN-0023-2024,NO,Baja California,SERVICIO DE DISPOSICIÓN DE RESIDUOS PELIGROSOS DE LA C.T. PRESIDENTE JUÁREZ GENERADOS EN EL AÑO 2024,Concurso simplificado,Servicio por Abastecimiento,13-06-2024,Adjudicado,"SUMINISTROS AMBIENTALES MEXICANOS SA DE CV,","$438,600.00"
CFE-0604-CSCON-0001-2024,NO,Baja California,"REHABILITACIÓN REJILLA EN TRANSFORMADOR PRINCIPAL, AUXILIAR Y ÁREAS EXTERIORES UNIDAD 8 Y 9",Concurso simplificado,Contratación de Obras,10-06-2024,Adjudicado,"Q-BICA CONSTRUCCIONES S DE RL DE CV,","$1,750,930.37"
CFE-0604-CSAAN-0021-2024,NO,Baja California,ROPA DE TRABAJO 2024 PARA PERSONAL DE MANTENIMIENTO DE LA C.T. PRESIDENTE JUÁREZ-SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,05-06-2024,Adjudicado,"FRENCH CHIC SA DE CV,","$16,400.00"
CFE-0604-CSAAA-0017-2024,NO,Baja California,ADQUISICIÓN DE MATERIALES DIVERSOS PARA EL DEPARTAMENTO MECÁNICO DE LA CENTRAL TERMOELÉCTRICA PRESIDENTE JUÁREZ,Concurso simplificado,Adquisición por Abastecimientos,04-06-2024,Adjudicado,"INOX VER SA DE CV,","$198,554.45"
